approve,id,final_cls,reason,value,suggestion,entry_id,field_path,context_before,context_after,hf_cls,gemini_cls,rule_hint,note
,cand-2925661,error_no_fix,digit_in_letter,3rounger,3rounger,schaff-herzog.luebecky-bishopric-of,definition_blocks[1],dignity was usually an appanage of the,sons of the dukes of Holstein until 170,error,,,error confirmed but no correction suggestion
,cand-2925691,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.luebecky-bishopric-of,definition_blocks[2],Bibuoosapht: Sourees are Urkundmbudi,"BiBtunu LQbeck, ed. W. Leverkiu, Oldenb",error,,,error confirmed but no correction suggestion
,cand-2925898,error_no_fix,digit_in_letter,3rears,3rears,schaff-herzog.fribdrich,definition_blocks[1],new University of Bonn. Here for eight,he exercised a great and happy influenc,error,,,error confirmed but no correction suggestion
,cand-2928507,error_no_fix,digit_in_letter,4reat,4reat,schaff-herzog.luke,definition_blocks[19],hus Mark sets the story of Jesus in two,groups of events-Qesus' work in Galilee,error,,,error confirmed but no correction suggestion
,cand-2933137,error_no_fix,digit_in_letter,mart3rr,mart3rr,schaff-herzog.lully-raymond,definition_blocks[27],"he works of the "" Doctor illuminatus et","Raymundus Lullus "" ap- peared without o",error,,,error confirmed but no correction suggestion
,cand-2936742,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.luther-martin,definition_blocks[47],"erg, a proceeding defended in his Warum",Papstes und aeiner JUnger BOeher vefrbr,error,,,error confirmed but no correction suggestion
,cand-2940797,error_no_fix,digit_in_letter,3rear,3rear,schaff-herzog.luther-martin,definition_blocks[105],"apei- tum tu Rom, which appeared in the",before his death. He gave a very real g,error,,,error confirmed but no correction suggestion
,cand-2942294,error_no_fix,digit_in_letter,h3rmns,h3rmns,schaff-herzog.luther-martin,definition_blocks[123],ngth and fidelity to the originaL Other,which have passed into conunon use in E,error,,,error confirmed but no correction suggestion
,cand-2942910,error_no_fix,digit_in_letter,6kumeniachen,6kumeniachen,schaff-herzog.luther-martin,definition_blocks[129],"F. Kat- tenbusch, Luthera Strung mu den","Symbolen, 1883; T. Kolde, Luther auf de",error,,,error confirmed but no correction suggestion
,cand-2945947,error_no_fix,digit_in_letter,s3mod,s3mod,schaff-herzog.lutherans,definition_blocks[50],74 re- moved the latter disability. The,"numbers about 5,300 persons, with thirt",error,,,error confirmed but no correction suggestion
,cand-2946152,error_no_fix,digit_in_letter,3crees,3crees,schaff-herzog.lutherans,definition_blocks[90],,of punish-,error,,,error confirmed but no correction suggestion
,cand-2946356,error_no_fix,digit_in_letter,L6he,L6he,schaff-herzog.lutherans,definition_blocks[111],the S\^![^gf^ti movement instigated by,in Bavaria ^ettted tn Baden also a desi,error,,,error confirmed but no correction suggestion
,cand-2951511,error_no_fix,digit_in_letter,S3mod,S3mod,schaff-herzog.lutherans,definition_blocks[163],d in 1866 eleven pastors of the Buffalo,joined the Missouri S3mod. one of which,error,,,error confirmed but no correction suggestion
,cand-2952455,error_no_fix,digit_in_letter,s3rmbolical,s3rmbolical,schaff-herzog.lutherans,definition_blocks[178],n direction and in 1847 adopted all the,books as the basis of its confession. C,error,,,error confirmed but no correction suggestion
,cand-2954209,error_no_fix,digit_in_letter,S3mod,S3mod,schaff-herzog.lutherans,definition_blocks[191],rule having been adopted by the United,"of the South and the General Synod, gun",error,,,error confirmed but no correction suggestion
,cand-2954242,error_no_fix,digit_in_letter,S3mod,S3mod,schaff-herzog.lutherans,definition_blocks[191],three general bodies and the Elng- lish,of Missouri. The English version of of,error,,,error confirmed but no correction suggestion
,cand-2955441,error_no_fix,digit_in_letter,evangeliech4utheriechen,evangeliech4utheriechen,schaff-herzog.lutherans,definition_blocks[202],"895-1899; J. Deindorfer, QeeehicKte der","Synode Iowa, Chicago, 1897; H. E. Jacob",error,,,error confirmed but no correction suggestion
,cand-2956582,error_no_fix,digit_in_letter,evan4feU9chen,evan4feU9chen,schaff-herzog.luther-s-two-catechisms,definition_blocks[8],"Q. Veeeenmeyer, Niuhrichten von einioen","eaieeheUeehen Schriften, Ubn, 1830; K.",error,,,error confirmed but no correction suggestion
,cand-2958962,error_no_fix,digit_in_letter,De9cripHve,De9cripHve,schaff-herzog.lyuch-thomas-toke,definition_blocks[1],"on- don* 1874, and a small Critical and","Notice of . . T. T, Lynch was published",error,,,error confirmed but no correction suggestion
,cand-2959725,error_no_fix,digit_in_letter,Serie9,Serie9,schaff-herzog.lyons-archbishopric-of,definition_blocks[3],"of the see are given in order in Gams,","episcoporum^ pp. 509-572, supplement, p",error,,,error confirmed but no correction suggestion
,cand-2961338,error_no_fix,digit_in_letter,Ranc6,Ranc6,schaff-herzog.mabillon-jean,definition_blocks[4],ot John Gersen. Against the Trappist De,"(see Trappistb), who had declared that",error,,,error confirmed but no correction suggestion
,cand-2962048,error_no_fix,digit_in_letter,waterwa3rs,waterwa3rs,schaff-herzog.mabillon-jean,definition_blocks[13],"e, were built for service in the inland","of France, and have carried the gospel",error,,,error confirmed but no correction suggestion
,cand-2962991,error_no_fix,digit_in_letter,da3rs,da3rs,schaff-herzog.macarius,definition_blocks[3],e the Western Church celebrates it four,earlier. Certain monasteries of the Lib,error,,,error confirmed but no correction suggestion
,cand-2963490,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.macarius,definition_blocks[17],"Cologne. 1850, and Zxoei FragmenU","KeilUfen MakarUu,",error,,,error confirmed but no correction suggestion
,cand-2969229,error_no_fix,digit_in_letter,3rear,3rear,schaff-herzog.macdonald-frederic-william,definition_blocks[0],"ham, from 1881 to 1891. From the latter",until 1905 he was sec- retary of the We,error,,,error confirmed but no correction suggestion
,cand-2971446,error_no_fix,digit_in_letter,Bu9iaihiu9,Bu9iaihiu9,schaff-herzog.macedonian-sect,definition_blocks[20],", pp. 165-100. Hamburg, 1723; F. Loofs,","von Se- bosto, Halle, 1808; J. Qummerus",error,,,error confirmed but no correction suggestion
,cand-2973115,error_no_fix,digit_in_letter,da3rB,da3rB,schaff-herzog.mackay-alexander-murdoch,definition_blocks[0],"arial fever, and stiociunbed after four","of illness, having spent fourteen years",error,,,error confirmed but no correction suggestion
,cand-2974322,error_no_fix,digit_in_letter,alwa3rs,alwa3rs,schaff-herzog.mackie-george-monro,definition_blocks[4],"describes his position as that of one ""","working toward the best."" He has writte",error,,,error confirmed but no correction suggestion
,cand-2977149,error_no_fix,digit_in_letter,sa3rs,sa3rs,schaff-herzog.macrinay-ma-cri-na,definition_blocks[1],e than a generation after her death. He,that she told him stories of Gregory Th,error,,,error confirmed but no correction suggestion
,cand-2980153,error_no_fix,digit_in_letter,Ro3ral,Ro3ral,schaff-herzog.magdeburg-centuries,definition_blocks[0],"where, lind in obtaining collaborators.","Library in Vienna, proved especially va",error,,,error confirmed but no correction suggestion
,cand-2980176,error_no_fix,digit_in_letter,joume3rB,joume3rB,schaff-herzog.magdeburg-centuries,definition_blocks[0],his purpose Flacius himself un- dertook,"in Germany, and his assistant Marcus Wa",error,,,error confirmed but no correction suggestion
,cand-2980906,error_no_fix,digit_in_letter,m3rBtic,m3rBtic,schaff-herzog.magic,definition_blocks[7],ausation of supernatural phe- nomena by,conjurations or incantations which may,error,,,error confirmed but no correction suggestion
,cand-2981598,error_no_fix,digit_in_letter,m3rBtic,m3rBtic,schaff-herzog.magic,definition_blocks[15],"ckness of every kind, and many of their",words of power are Assyro-Babylonian in,error,,,error confirmed but no correction suggestion
,cand-2982154,error_no_fix,digit_in_letter,Eg3rpt,Eg3rpt,schaff-herzog.magic,definition_blocks[31],gic found its way into Greece both from,and Babylonia or Persia. Nor did the re,error,,,error confirmed but no correction suggestion
,cand-2982183,error_no_fix,digit_in_letter,Eg3rpt,Eg3rpt,schaff-herzog.magic,definition_blocks[31],"al '' barbarians."" The medical magic of","found no bar to its en- trance, and nei",error,,,error confirmed but no correction suggestion
,cand-2983911,error_no_fix,digit_in_letter,raiaonn6,raiaonn6,schaff-herzog.magic,definition_blocks[54],"reiburg, 1899; F. L. Gardner. Catalogue","of Worka on the Occult Scieneea, Lon- d",error,,,error confirmed but no correction suggestion
,cand-2984022,error_no_fix,digit_in_letter,MA6ISTER,MA6ISTER,schaff-herzog.magic,definition_blocks[55],,SACRI PALATH (''Master of the Sacred Pa,error,,,error confirmed but no correction suggestion
,cand-2987379,error_no_fix,digit_in_letter,6sn,6sn,schaff-herzog.maimbourg-louis,definition_blocks[10],"P. Beer, Ls6«n und Wirkendm Rabbi Moses","Mai- mon, Prague, 1834; 8. B. Scheyer,",error,,,error confirmed but no correction suggestion
,cand-2987408,error_no_fix,digit_in_letter,6sn,6sn,schaff-herzog.maimbourg-louis,definition_blocks[10],"atmonidm, London, 1847; A. Oeiger, Mo»m","Maimon, Rosenberg. 1850; M. Jdel, Di» R",error,,,error confirmed but no correction suggestion
,cand-2987415,error_no_fix,digit_in_letter,R4liffum9pHilo9ophie,R4liffum9pHilo9ophie,schaff-herzog.maimbourg-louis,definition_blocks[10],"n Maimon, Rosenberg. 1850; M. Jdel, Di»","det M<mm ben Maisnon- idm, Breslau, 186",error,,,error confirmed but no correction suggestion
,cand-2987444,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.maimbourg-louis,definition_blocks[10],"aUen, Vienna, 1870; D. Rosin. Die Bthik","Afotmomdss, Breslau. 1876; D. Kaufmann.",error,,,error confirmed but no correction suggestion
,cand-2988277,error_no_fix,digit_in_letter,Beitr6ge,Beitr6ge,schaff-herzog.mainz,definition_blocks[5],". Jahrhunderte, Mains, 1886; J. Jaeger,","sur Oeediiehte dee EneUfte Maine, Osnab",error,,,error confirmed but no correction suggestion
,cand-2989167,error_no_fix,digit_in_letter,3rear,3rear,schaff-herzog.major-maier-6b0r6,definition_blocks[0],"returned to Wittenbeig, and in the same",became cathedral superintendent at Mers,error,,,error confirmed but no correction suggestion
,cand-2992247,error_no_fix,digit_in_letter,9chen,9chen,schaff-herzog.malachy-o-morgair-saint,definition_blocks[3],0; A. Bellesheim. QM€hiehie dtr kaihAi^,"Kirche in Jrland, vol. L, Mains, 1800;",error,,,error confirmed but no correction suggestion
,cand-2992267,error_no_fix,digit_in_letter,9ur,9ur,schaff-herzog.malachy-o-morgair-saint,definition_blocks[3],"strier, RtftUtUicm det prophetiee . . .","Im d/ecHana dm papea, Paris. 1680; J. J",error,,,error confirmed but no correction suggestion
,cand-2995816,error_no_fix,digit_in_letter,6tude,6tude,schaff-herzog.malebrahche-nicolas,definition_blocks[1],"pp. 362-306. ib. 1846; R A. Blampignon,","eur Malebranche, ib. 1862; F. Bowen, Mo",error,,,error confirmed but no correction suggestion
,cand-2996998,error_no_fix,digit_in_letter,6ed,6ed,schaff-herzog.mammon,definition_blocks[8],w. Carolus Linnaeus (1707-1778) classi-,man with the ape as the highest represe,error,,,error confirmed but no correction suggestion
,cand-2999038,error_no_fix,digit_in_letter,S3rnagogue,S3rnagogue,schaff-herzog.manasseh-belf-israel,definition_blocks[0],"le under protection in England, erect a","in London, and purchase ground there fo",error,,,error confirmed but no correction suggestion
,cand-3000228,error_no_fix,digit_in_letter,9ayye,9ayye,schaff-herzog.mandaans,definition_blocks[21],""" powers."" From "" First Life "" emanated","Tinyaniyye, "" Second Life,"" called also",error,,,error confirmed but no correction suggestion
,cand-3004172,error_no_fix,digit_in_letter,Theaauru9,Theaauru9,schaff-herzog.mandaans,definition_blocks[60],t ooDBulted in the ed. of H. Petermaim.,"Hve Uber moffnut, vtUgo "" lAber Adami,""",error,,,error confirmed but no correction suggestion
,cand-3005233,error_no_fix,digit_in_letter,LAX7TENBACH,LAX7TENBACH,schaff-herzog.manegold-of-lax7tenbach,term,MANEGOLD OF,,error,,,error confirmed but no correction suggestion
,cand-3005781,error_no_fix,digit_in_letter,G6ttingen,G6ttingen,schaff-herzog.ma1v60ld-wilhelm-julius,definition_blocks[0],"ntil Sept., 1849, he devoted himself at","to ecclesiastical history, and in the f",error,,,error confirmed but no correction suggestion
,cand-3009667,error_no_fix,digit_in_letter,tb3,tb3,schaff-herzog.mani-hanicheans,definition_blocks[49],nds by which hearers were ad- vanced to,grade of adept. The churches were like,error,,,error confirmed but no correction suggestion
,cand-3011025,error_no_fix,digit_in_letter,niS3e,niS3e,schaff-herzog.mani-hanicheans,definition_blocks[59],ollection of these minor doctunents was,"later and was known as ""the Book of Epi",error,,,error confirmed but no correction suggestion
,cand-3012548,error_no_fix,digit_in_letter,ni99,ni99,schaff-herzog.mani-hanicheans,definition_blocks[78],ystem daa ManiehAumuM und Mein VerfUUt-,"turn BuddhiamuM, Jena, 1876; R Rochat,",error,,,error confirmed but no correction suggestion
,cand-3012556,error_no_fix,digit_in_letter,9ur,9ur,schaff-herzog.mani-hanicheans,definition_blocks[78],"BuddhiamuM, Jena, 1876; R Rochat, Batai","Mani et aa doctrine, Geneva, 1897; A. D",error,,,error confirmed but no correction suggestion
,cand-3012708,error_no_fix,digit_in_letter,rect6r,rect6r,schaff-herzog.manh-camergll,definition_blocks[0],"Peter's, Albany, N. Y., in 1875, he was","successively of St. James', Watkins, N.",error,,,error confirmed but no correction suggestion
,cand-3017328,error_no_fix,digit_in_letter,2ianchi,2ianchi,schaff-herzog.marbach-johann,definition_blocks[2],"trasburg, open strife broke out between",and Biarbach. The main points of conten,error,,,error confirmed but no correction suggestion
,cand-3018711,error_no_fix,digit_in_letter,R6rer,R6rer,schaff-herzog.marburo-coivferencb-of,definition_blocks[7],"s, Cruciger, Veit Diet- rich and (jeoi^","from Wittenberg, Myconius from Gotha, M",error,,,error confirmed but no correction suggestion
,cand-3020216,error_no_fix,digit_in_letter,Sa6ne,Sa6ne,schaff-herzog.marcellus,definition_blocks[1],d by the Prefect Priscus at Chalon-sur-,"during the reign of Antoninus Pius, pro",error,,,error confirmed but no correction suggestion
,cand-3020416,error_no_fix,digit_in_letter,ANC7RA,ANC7RA,schaff-herzog.marcellus-of-anc7ra,term,MARCELLUS OF,,error,,,error confirmed but no correction suggestion
,cand-3021190,error_no_fix,digit_in_letter,s3rmbol,s3rmbol,schaff-herzog.marcellus-of-anc7ra,definition_blocks[10],"ever polemized against him, presented a",which accepted the definition of the So,error,,,error confirmed but no correction suggestion
,cand-3021483,error_no_fix,digit_in_letter,MarcMu9,MarcMu9,schaff-herzog.marcellus-of-anc7ra,definition_blocks[12],"diaousaions are antiquated by T. Zahn,","von An- cyra, Gotha, 1867. Ck>n8ult fur",error,,,error confirmed but no correction suggestion
,cand-3023264,error_no_fix,digit_in_letter,metaph3rsical,metaph3rsical,schaff-herzog.marcion-marcionites,definition_blocks[25],He dif- fered also from Marcion in his,inter- ests. His rule of faith began wi,error,,,error confirmed but no correction suggestion
,cand-3024916,error_no_fix,digit_in_letter,9ur,9ur,schaff-herzog.marcus-aurelius-antoninus,definition_blocks[8],"Paris, 1857; A. NoSl des Vergers, Eeeai","Maro-Aurkle, Paris, 1860; M. Kdnigsbeck",error,,,error confirmed but no correction suggestion
,cand-3024939,error_no_fix,digit_in_letter,al9,al9,schaff-herzog.marcus-aurelius-antoninus,definition_blocks[8],"1865; A. Bodek, M. Aureliue Ann toniiu",Freund und Zeitgenoeae dee RaMfi Jdiuda,error,,,error confirmed but no correction suggestion
,cand-3025502,error_no_fix,digit_in_letter,Law3rer,Law3rer,schaff-herzog.marcus-eremita,definition_blocks[6],"y lusts, while the "" Disputation with a",""" is a dialogue of "" an aged ascetic """,error,,,error confirmed but no correction suggestion
,cand-3028752,error_no_fix,digit_in_letter,Tb3,Tb3,schaff-herzog.marheirecke-philipp-konrad,definition_blocks[3],lation or the spirit in Chris- tianity.,basal mystery of all religions and ages,error,,,error confirmed but no correction suggestion
,cand-3029797,error_no_fix,digit_in_letter,lnd4X,lnd4X,schaff-herzog.mariaha-juan-db,definition_blocks[6],0 sqq.. Leipeic. 1872-73; F. H. Reusoh.,"dar vedxdenen BUeher, ii. 281-282. 341-",error,,,error confirmed but no correction suggestion
,cand-3029822,error_no_fix,digit_in_letter,9chs,9chs,schaff-herzog.mariaha-juan-db,definition_blocks[6],1-23. Munich. 1894; P. Krebe. Dm poUa-,PubUgitOk dm JetuOen. pp. 108-121. Hmll,error,,,error confirmed but no correction suggestion
,cand-3030089,error_no_fix,digit_in_letter,Abb6,Abb6,schaff-herzog.mariaha-juan-db,definition_blocks[8],"the "" Society of Mary,"" founded by the","Colin, which was confirmed in 1836 and",error,,,error confirmed but no correction suggestion
,cand-3031727,error_no_fix,digit_in_letter,Mart3rr,Mart3rr,schaff-herzog.mark,definition_blocks[6],"nd Gospel, especially in view of Justin","(Trypho, cvi.) and of the fact that it",error,,,error confirmed but no correction suggestion
,cand-3033227,error_no_fix,digit_in_letter,Mareu9,Mareu9,schaff-herzog.issy,definition_blocks[3],suggested: F. Hit- sig. C/sbsr JoAonnss,"Hfid ssins SfkrifUn, Zurich, 1843; F. C",error,,,error confirmed but no correction suggestion
,cand-3033238,error_no_fix,digit_in_letter,9einmm,9einmm,schaff-herzog.issy,definition_blocks[3],"3; F. C. Baur, Diu MoftuatvanoeUum naeh","Urwpmmg Hfid CkankUr, TQbingen. 1861; K",error,,,error confirmed but no correction suggestion
,cand-3033258,error_no_fix,digit_in_letter,Da9,Da9,schaff-herzog.issy,definition_blocks[3],"fktsfs Stuttgart, 1863; A. Klostermann,","Mareu9- Evangdium, GOttingen. 1867; J.",error,,,error confirmed but no correction suggestion
,cand-3035064,error_no_fix,digit_in_letter,da3rs,da3rs,schaff-herzog.marnix-philips-van,definition_blocks[11],"(near Tours) on Sept. 9, 1580, and ten",later the treaty of Plessi^-lez-Toiirs,error,,,error confirmed but no correction suggestion
,cand-3035764,error_no_fix,digit_in_letter,Camhrido4,Camhrido4,schaff-herzog.marnix-philips-van,definition_blocks[26],"t Ntdtrlandadtt gnehrifUn, Ghent, 1881;","Modern Hiatory, Ul 201 sqq.. New York,",error,,,error confirmed but no correction suggestion
,cand-3035785,error_no_fix,digit_in_letter,PhiKpp9,PhiKpp9,schaff-herzog.marnix-philips-van,definition_blocks[26],"jfonda, Parti., Di€ Jufftnd JoKannt tmd","v<mMamix,leiveLCf 1900.",error,,,error confirmed but no correction suggestion
,cand-3037881,error_no_fix,digit_in_letter,nationalH6,nationalH6,schaff-herzog.maronitbs,definition_blocks[29],": F. Tyan, Soua lea chdrea du Liban; la",Maronite^ La Chapelle-Montligeon. 1005.,error,,,error confirmed but no correction suggestion
,cand-3041771,error_no_fix,digit_in_letter,3rield,3rield,schaff-herzog.marruge,definition_blocks[56],an is absent only when husband and wife,up each to the other the entire persona,error,,,error confirmed but no correction suggestion
,cand-3044276,error_no_fix,digit_in_letter,alwa3rs,alwa3rs,schaff-herzog.marruge,definition_blocks[90],"f Roman contracting marriage, though it",I<aw. regarded it as a necessary expres,error,,,error confirmed but no correction suggestion
,cand-3044515,error_no_fix,digit_in_letter,prcB9enH,prcB9enH,schaff-herzog.marruge,definition_blocks[92],"age, aparualia de/tUwro and tponKdia de",(the latter being sacramental and indis,error,,,error confirmed but no correction suggestion
,cand-3049495,error_no_fix,digit_in_letter,dolo9a,dolo9a,schaff-herzog.marruge,definition_blocks[175],"adul- tery and wilful desertion, imply",fidei oofir iugalis violatio on the par,error,,,error confirmed but no correction suggestion
,cand-3051795,error_no_fix,digit_in_letter,Ha3m,Ha3m,schaff-herzog.george-marquis-de,definition_blocks[3],resided for some years at the castle of,near Berleburg as the spiritual adviser,error,,,error confirmed but no correction suggestion
,cand-3052345,error_no_fix,digit_in_letter,S3mod,S3mod,schaff-herzog.marseilles-bishopric-of,definition_blocks[0],ally but not to his suc- cessors by the,of Turin in 401. During his episcopate,error,,,error confirmed but no correction suggestion
,cand-3052445,error_no_fix,digit_in_letter,6vhpm,6vhpm,schaff-herzog.marseilles-bishopric-of,definition_blocks[0],"i., Mareeillea, 1747-51; A. Rioard, Lee","de MareeiUe, Paria, 1872.",error,,,error confirmed but no correction suggestion
,cand-3054076,error_no_fix,digit_in_letter,Pr6s,Pr6s,schaff-herzog.mari-ne-bdmond,definition_blocks[0],"at Reims, sent him to Saint Germain des","at Paris, the headquarters of the liter",error,,,error confirmed but no correction suggestion
,cand-3055917,error_no_fix,digit_in_letter,metaphoria4,metaphoria4,schaff-herzog.martianay,definition_blocks[0],"is, 1704), in which he subordinated the",interpretation to the literal^ smi,error,,,error confirmed but no correction suggestion
,cand-3056307,error_no_fix,digit_in_letter,9unt,9unt,schaff-herzog.hartdf,definition_blocks[1],. The CommemoraHo eorum qucB . . . acta,", , , in , , . Martinum papam, is also",error,,,error confirmed but no correction suggestion
,cand-3057080,error_no_fix,digit_in_letter,DiM9ertatumM,DiM9ertatumM,schaff-herzog.hartdf,definition_blocks[9],66 sqq.. Berlin. 1868-70; B. Jungmann.,"s^ Ueta, vol. yi., Recensbuis. 1886; Fu",error,,,error confirmed but no correction suggestion
,cand-3057705,error_no_fix,digit_in_letter,dl4,dl4,schaff-herzog.martin-of-brag-a,definition_blocks[4],,,error,,,error confirmed but no correction suggestion
,cand-3065358,error_no_fix,digit_in_letter,Ra3maud,Ra3maud,schaff-herzog.hl-featti-of-mary,definition_blocks[10],"nth century, such as those of Th^ophile","{Diptycha Morianaj Grenoble, . 1643), J",error,,,error confirmed but no correction suggestion
,cand-3066727,error_no_fix,digit_in_letter,Evan4felien,Evan4felien,schaff-herzog.hl-featti-of-mary,definition_blocks[22],": F. W. Genthe, Die Juno/rau Maria, ihn","und ihr€ Wunder, Halle, 1862; K. Benrat",error,,,error confirmed but no correction suggestion
,cand-3067197,error_no_fix,digit_in_letter,mo6t,mo6t,schaff-herzog.mary-ma6dale1ie-mary-of-magdala,definition_blocks[0],The,devoted of the female followers of Jesu,error,,,error confirmed but no correction suggestion
,cand-3069337,error_no_fix,digit_in_letter,babylon4adten,babylon4adten,schaff-herzog.ma80rah,definition_blocks[37],ee A. T.*a nacft der Ueberlieferung der,"Juden, Leipsic. 1902.",error,,,error confirmed but no correction suggestion
,cand-3069700,error_no_fix,digit_in_letter,mu9a,mu9a,schaff-herzog.mass,definition_blocks[16],ologict vi. 19). He clearly imderstands,as equivalent to miaaio with the meanin,error,,,error confirmed but no correction suggestion
,cand-3076139,error_no_fix,digit_in_letter,andPrMantHonor6,andPrMantHonor6,schaff-herzog.mass,definition_blocks[79],er professor at WUrzbiug (d. 1783); and,"Toumely, professor at the Theories. Sor",error,,,error confirmed but no correction suggestion
,cand-3079139,error_no_fix,digit_in_letter,2SS,2SS,schaff-herzog.xv,definition_blocks[5],,,error,,,error confirmed but no correction suggestion
,cand-3084121,error_no_fix,digit_in_letter,3routh,3routh,schaff-herzog.katamoros-manuel,definition_blocks[0],"sanne July 31, 1866. He paoed his early","in Malaga, and at the age of fifteen en",error,,,error confirmed but no correction suggestion
,cand-3086940,error_no_fix,digit_in_letter,Philo9ophv,Philo9ophv,schaff-herzog.materialism,definition_blocks[30],"s given in J. H. Baldwin, Dictionary of","and Paycholooy, iii. 620-4S26, New York",error,,,error confirmed but no correction suggestion
,cand-3088531,error_no_fix,digit_in_letter,3rears,3rears,schaff-herzog.mather,definition_blocks[12],is death. During nearly three and forty,"he was indefatigable as a preacher, sys",error,,,error confirmed but no correction suggestion
,cand-3089049,error_no_fix,digit_in_letter,Proceedin4fs,Proceedin4fs,schaff-herzog.mather,definition_blocks[17],"e Supernormal in New Eng- land Hist, in",of ihis Massachusetts Historical Societ,error,,,error confirmed but no correction suggestion
,cand-3090204,error_no_fix,digit_in_letter,Th4,Th4,schaff-herzog.matheson-george,definition_blocks[3],"hymn-books. Bibuoobapht: D. Macmillan,","14/0 <4 Qtorge Matheaon, London, 1907.",error,,,error confirmed but no correction suggestion
,cand-3090936,error_no_fix,digit_in_letter,6he,6he,schaff-herzog.born,definition_blocks[0],a (see GsBTRUDs). The revelations which,claimed to have here were written down,error,,,error confirmed but no correction suggestion
,cand-3092723,error_no_fix,digit_in_letter,S3rriac,S3rriac,schaff-herzog.matthew,definition_blocks[6],this as written '' in the Chaldaic and,"language but in Hebrew letters,"" and as",error,,,error confirmed but no correction suggestion
,cand-3093043,error_no_fix,digit_in_letter,h3rpothesis,h3rpothesis,schaff-herzog.matthew,definition_blocks[10],uctive of tradition. Under the TQbingen,that Mark was a condensation from Matth,error,,,error confirmed but no correction suggestion
,cand-3095106,error_no_fix,digit_in_letter,ro3ral,ro3ral,schaff-herzog.matthew-tobib-tobias,definition_blocks[0],tiliousness in diligent guardian of the,and national interests in the northern,error,,,error confirmed but no correction suggestion
,cand-3095963,error_no_fix,digit_in_letter,un9er9,un9er9,schaff-herzog.maulbrolf-n,definition_blocks[35],"consult: G. J. Planck, OeechidUe . . .","protettanHechen Lehrbeffriffe, v. 2, pp",error,,,error confirmed but no correction suggestion
,cand-3099383,error_no_fix,digit_in_letter,C3rprus,C3rprus,schaff-herzog.maxdcus-confessor,definition_blocks[28],ft a letter to the presbyter Maximus of,on the procession of the Holy Ghost; an,error,,,error confirmed but no correction suggestion
,cand-3102904,error_no_fix,digit_in_letter,de9,de9,schaff-herzog.mazarin,definition_blocks[2],"of Mazarin, hd. A. Ch^ruel, in CoUecHon","documenU in- SdiU 9ur VhiaL de France,",error,,,error confirmed but no correction suggestion
,cand-3102909,error_no_fix,digit_in_letter,9ur,9ur,schaff-herzog.mazarin,definition_blocks[2],"ruel, in CoUecHon de9 documenU in- SdiU","VhiaL de France, Paris. 1872-94. The be",error,,,error confirmed but no correction suggestion
,cand-3105005,error_no_fix,digit_in_letter,VerhAltniM9e,VerhAltniM9e,schaff-herzog.mecklenburo-chwerin,definition_blocks[6],", BerliD. 1899 eqq.; G. Mau, Kirchliche","in Mecklenburo, ib. 1899; E. Millies, C",error,,,error confirmed but no correction suggestion
,cand-3108423,error_no_fix,digit_in_letter,C3nrus,C3nrus,schaff-herzog.hedo-persia,definition_blocks[14],expressed in the boasting words of,the Younger: ** My father's kingdom ext,error,,,error confirmed but no correction suggestion
,cand-3109384,error_no_fix,digit_in_letter,Ass3rria,Ass3rria,schaff-herzog.hedo-persia,definition_blocks[23],". and Shalmaneser I., his son, kings of","about 1300 B.C., who conquered the Lulu",error,,,error confirmed but no correction suggestion
,cand-3110502,error_no_fix,digit_in_letter,C3nrus,C3nrus,schaff-herzog.hedo-persia,definition_blocks[50],o satrapies and ruled by a strong hand.,turned next to Babylonia. Nabon- idus w,error,,,error confirmed but no correction suggestion
,cand-3113090,error_no_fix,digit_in_letter,evangeli9ch4utherische,evangeli9ch4utherische,schaff-herzog.meinhold-karl-heinrich-joachim,definition_blocks[1],. (T. Meinhold.) Bibuoorapht: AUgemeine,"£treA«n- tcUung, 1888, pp. 1107 eqq.",error,,,error confirmed but no correction suggestion
,cand-3113610,error_no_fix,digit_in_letter,Q6ttingen,Q6ttingen,schaff-herzog.mejer-otto-karl-alexander,definition_blocks[0],"died jurisprudence at Berlin, Jena, and","(LL.D., 1841). In 1845 he published his",error,,,error confirmed but no correction suggestion
,cand-3114390,error_no_fix,digit_in_letter,9oeUU,9oeUU,schaff-herzog.mekhitarists,definition_blocks[6],"t: E. Bore, SairU LoMore, ou hid, de la",religietue armSnUnne de MitKiJLcMry Ven,error,,,error confirmed but no correction suggestion
,cand-3123507,error_no_fix,digit_in_letter,PE6AS,PE6AS,schaff-herzog.melbtius-pe6as,term,MELBTIUS,,error,,,error confirmed but no correction suggestion
,cand-3124039,error_no_fix,digit_in_letter,N6ldeke,N6ldeke,schaff-herzog.melito,definition_blocks[1],"und in the other, but most probably, as","has explained, was a Syriac original wo",error,,,error confirmed but no correction suggestion
,cand-3128229,error_no_fix,digit_in_letter,Eg3rpt,Eg3rpt,schaff-herzog.memorials-and-sacred-stones,definition_blocks[31],at the border of Egypt as a token that,too is to be a part of God's territory,error,,,error confirmed but no correction suggestion
